City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,scarborough,54.2797,-0.4044,281.29,79,100,2.68,GB,1707017857
214,pacasmayo,-7.4006,-79.5714,298.29,76,100,3.5,PE,1707018067
215,tselinnoye,53.0833,85.6667,265.8,86,100,3.18,RU,1707018068
216,sungai raya,0.7,108.9,302.86,69,84,3.34,ID,1707018069
217,berbera,10.4396,45.0143,298.84,82,67,2.88,SO,1707018070
218,botro,7.8525,-5.3106,298.86,25,88,1.15,CI,1707018070
219,laguna,38.421,-121.4238,284.21,80,0,1.54,US,1707018071
220,san antonio de pale,-1.4014,5.6325,301.01,75,100,3.43,GQ,1707018071
221,nsanje,-16.92,35.262,295.2,96,7,0.58,MW,1707018072
222,kirkland lake,48.1446,-80.0377,265.31,86,46,0.0,CA,1707018073
223,youssoufia,32.2463,-8.5294,286.59,53,78,0.43,MA,1707018074
224,tibanbang,6.6315,126.1055,300.15,79,71,3.78,PH,1707018074
225,atafu village,-8.5421,-172.5159,301.8,77,100,9.52,TK,1707018075
226,tralee,52.2704,-9.7026,284.59,97,100,5.21,IE,1707018076
227,haiku-pauwela,20.9219,-156.3051,294.28,71,100,8.75,US,1707018076
228,binzhou,37.3667,118.0167,273.26,41,100,5.01,CN,1707018077
229,vilyuchinsk,52.9306,158.4028,263.3,68,82,3.32,RU,1707018078
230,lycksele,64.5954,18.6735,270.08,80,20,7.72,SE,1707018079
231,vadso,70.0744,29.7487,271.24,80,100,4.63,NO,1707018080
232,ocos,14.5094,-92.1933,297.25,68,0,5.41,GT,1707018080
233,montepuez,-13.1256,38.9997,294.64,97,90,0.61,MZ,1707018081
234,cidreira,-30.1811,-50.2056,296.42,90,72,5.76,BR,1707018082
235,san patricio,28.017,-97.5169,289.73,56,1,1.04,US,1707018083
236,bardai,11.65,7.2333,288.58,21,2,6.06,NG,1707018083
237,winston,28.0317,-82.0148,290.36,85,0,2.57,US,1707018084
238,faya-largeau,17.9257,19.1043,286.08,29,2,10.8,TD,1707018085
239,aqadyr,48.2553,72.8483,266.94,77,100,4.39,KZ,1707018086
240,norilsk,69.3535,88.2027,258.94,95,100,3.56,RU,1707018086
241,levuka,50.1834,-105.4011,274.99,80,99,3.03,CA,1707018088
242,ugoofaaru,5.6667,73.0,301.22,72,97,7.06,MV,1707018088
243,winkler,49.1817,-97.941,275.58,100,49,1.54,CA,1707018089
244,gadzhiyevo,69.2551,33.3362,266.57,85,100,8.38,RU,1707018090
245,susuman,62.7833,148.1667,248.14,97,89,1.34,RU,1707018090
246,bintulu,3.1667,113.0333,303.38,79,40,1.54,MY,1707018091
247,la huerta,19.4667,-104.65,288.59,83,0,1.0,MX,1707018092
248,kapa'a,22.0752,-159.319,296.14,59,75,11.32,US,1707018092
249,san rafael del sur,11.8485,-86.4384,298.69,89,5,0.71,NI,1707018093
250,kalaoa,19.7286,-155.9817,294.99,83,100,3.09,US,1707018093
251,twon-brass,4.3151,6.2418,300.5,83,39,2.41,NG,1707018094
252,bakchar,57.0186,82.0711,263.25,96,100,1.72,RU,1707018095
253,hawaiian paradise park,19.5933,-154.9731,294.28,71,54,1.79,US,1707018095
254,kingston,17.997,-76.7936,298.68,73,20,1.54,JM,1707018079
255,heroica ciudad de tlaxiaco,17.2667,-97.6833,283.31,93,4,2.29,MX,1707018097
256,aasiaat,68.7098,-52.8699,241.7,91,63,2.26,GL,1707018097
257,neopolis,-10.32,-36.5794,297.55,88,12,2.09,BR,1707018098
258,as sulayyil,20.4607,45.5779,283.29,32,1,4.54,SA,1707018098
259,karratha,-20.7377,116.8463,308.24,43,73,7.56,AU,1707018099
260,yeed,4.55,43.0333,298.24,56,90,6.42,SO,1707018100
261,tevriz,57.509,72.4042,257.12,96,100,3.58,RU,1707018101
262,kinablangan,7.6947,126.5503,300.2,80,79,1.3,PH,1707018101
263,gobabis,-22.45,18.9667,293.77,61,100,2.6,NA,1707018102
264,belmonte,-15.8631,-38.8828,297.7,89,88,2.61,BR,1707018103
265,saint-philippe,-21.3585,55.7679,297.92,66,46,4.06,RE,1707018104
266,daru,-9.0763,143.2092,305.52,60,60,4.52,PG,1707018104
267,pauini,-7.7136,-66.9764,296.82,97,70,1.0,BR,1707018105
268,wailua homesteads,22.0669,-159.378,295.39,59,75,11.32,US,1707018106
269,puerto baquerizo moreno,-0.9,-89.6,298.64,88,17,4.73,EC,1707018106
270,chui,-33.6971,-53.4616,295.43,85,12,3.29,UY,1707018040
